ID,Country,Continent,Population,IMF_GDP,UN_GDP,IMF_GDP_per_capita,UN_GDP_per_capita
4,Afghanistan,Asia,42239.850000,0.000000e+00,2.023506e+10,4.790500e+02,4.790515e+02
8,Albania,Europe,2832.440000,1.906200e+10,1.186387e+10,6.729890e+03,4.188568e+03
12,Algeria,Africa,45606.480000,1.993820e+11,1.590490e+11,4.371790e+03,3.487424e+03
20,Andorra,Europe,80.090000,3.580000e+09,2.858407e+09,4.470083e+04,3.568993e+04
24,Angola,Africa,36684.200000,1.333350e+11,1.069180e+11,3.634670e+03,2.914539e+03
660,Anguilla,North America,15.900000,0.000000e+00,3.375205e+08,2.122904e+04,2.122770e+04
28,Antigua and Barbuda,North America,94.300000,1.768000e+09,1.460158e+09,1.874907e+04,1.548418e+04
32,Argentina,South America,45773.880000,5.736330e+11,5.458660e+11,1.253188e+04,1.192528e+04
51,Armenia,Europe,2777.970000,1.584200e+10,1.057230e+10,5.702730e+03,3.805764e+03
533,Aruba,North America,106.280000,3.395000e+09,2.667039e+09,3.194482e+04,2.509446e+04
36,Australia,Oceania,26439.110000,1.828390e+12,1.304460e+12,6.915490e+04,4.933839e+04
40,Austria,Europe,8958.960000,5.188080e+11,3.908000e+11,5.790940e+04,4.362113e+04
31,Azerbaijan,Europe,10412.650000,7.291200e+10,3.784720e+10,7.002250e+03,3.634733e+03
44,Bahamas,North America,412.620000,1.363000e+10,1.126180e+10,3.303257e+04,2.729339e+04
48,Bahrain,Asia,1485.510000,4.542100e+10,3.217907e+10,3.057605e+04,2.166197e+04
50,Bangladesh,Asia,172954.320000,4.384360e+11,2.208370e+11,2.534980e+03,1.276850e+03
52,Barbados,North America,282.000000,5.926000e+09,4.552793e+09,2.101456e+04,1.614466e+04
112,Belarus,Europe,9498.240000,6.018800e+10,4.740811e+10,6.336750e+03,4.991252e+03
56,Belgium,Europe,11686.140000,6.397160e+11,4.679550e+11,5.474143e+04,4.004361e+04
84,Belize,North America,410.830000,2.135000e+09,1.741100e+09,5.196860e+03,4.238006e+03
204,Benin,Africa,13712.830000,2.002900e+10,8.893638e+09,1.460600e+03,6.485633e+02
60,Bermuda,North America,64.070000,0.000000e+00,6.127341e+09,9.563659e+04,9.563510e+04
64,Bhutan,Asia,787.420000,2.881000e+09,2.212643e+09,3.658770e+03,2.809990e+03
68,Bolivia,South America,12388.570000,4.335100e+10,3.380640e+10,3.499270e+03,2.728838e+03
70,Bosnia and Herzegovina,Europe,3210.850000,2.497100e+10,1.690990e+10,7.777080e+03,5.266488e+03
72,Botswana,Africa,2675.350000,1.982100e+10,1.556606e+10,7.408740e+03,5.818326e+03
76,Brazil,South America,216422.450000,1.980480e+12,1.795930e+12,9.151010e+03,8.298241e+03
92,British Virgin Islands,North America,31.540000,0.000000e+00,9.712371e+08,3.079577e+04,3.079382e+04
96,Brunei,Asia,452.520000,2.770800e+10,1.140027e+10,6.122990e+04,2.519285e+04
100,Bulgaria,Europe,6687.720000,9.779800e+10,5.323964e+10,1.462353e+04,7.960806e+03
854,Burkina Faso,Africa,23251.490000,2.128000e+10,1.169512e+10,9.152100e+02,5.029836e+02
108,Burundi,Africa,13238.560000,3.686000e+09,2.873700e+09,2.784300e+02,2.170704e+02
116,Cambodia,Asia,16944.830000,3.023900e+10,2.001675e+10,1.784560e+03,1.181289e+03
120,Cameroon,Africa,28647.290000,4.951800e+10,3.221707e+10,1.728540e+03,1.124612e+03
124,Canada,North America,38781.290000,2.362320e+12,1.529760e+12,6.091386e+04,3.944584e+04
132,Cape Verde,Africa,598.680000,2.178000e+09,1.638928e+09,3.637990e+03,2.737569e+03
136,Cayman Islands,North America,69.310000,0.000000e+00,3.844081e+09,5.546214e+04,5.546214e+04
